City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2022-01-23 20:57:35,-34.5322,20.0403,68.29,73,40,9.82
1,Kodiak,US,2022-01-23 20:57:35,57.79,-152.4072,38.71,93,100,9.22
2,Ushuaia,AR,2022-01-23 20:57:36,-54.8,-68.3,56.86,54,75,4.61
3,Port Elizabeth,ZA,2022-01-23 20:57:36,-33.918,25.5701,73.09,88,0,8.05
4,Albany,US,2022-01-23 20:57:36,42.6001,-73.9662,30.27,60,100,2.06
5,Vaini,TO,2022-01-23 20:57:37,-21.2,-175.2,81.03,71,17,10.22
6,Yulara,AU,2022-01-23 20:55:48,-25.2406,130.9889,73.24,60,0,8.05
7,Svetlyy,RU,2022-01-23 20:57:37,54.675,20.1347,32.97,85,25,9.93
8,Qostanay,KZ,2022-01-23 20:57:38,53.1667,63.5833,-11.49,98,19,4.59
9,Rikitea,PF,2022-01-23 20:57:38,-23.1203,-134.9692,78.48,73,98,16.11
10,Mayor Pablo Lagerenza,PY,2022-01-23 20:57:39,-19.9309,-60.7718,92.98,38,100,11.9
11,Port Alfred,ZA,2022-01-23 20:57:39,-33.5906,26.891,73.98,76,0,25.05
12,Barrow,US,2022-01-23 20:57:40,71.2906,-156.7887,-0.38,71,100,5.75
13,Korem,ET,2022-01-23 20:57:40,12.5058,39.5228,51.01,64,100,1.97
14,Hilo,US,2022-01-23 20:55:32,19.7297,-155.09,76.39,81,33,1.99
15,Namatanai,PG,2022-01-23 20:53:27,-3.6667,152.4333,80.47,80,93,2.33
16,Lewisporte,CA,2022-01-23 20:57:41,49.2499,-55.0482,24.55,89,86,3.24
17,Punta Arenas,CL,2022-01-23 20:55:53,-53.15,-70.9167,57.31,58,75,23.02
18,Busselton,AU,2022-01-23 20:57:42,-33.65,115.3333,63.09,80,40,14.94
19,Butaritari,KI,2022-01-23 20:57:42,3.0707,172.7902,81.73,80,98,18.77
20,Kuminskiy,RU,2022-01-23 20:57:43,58.6667,66.5667,7.54,97,100,4.07
